parent code,code,parent class name,class name,vgb class name
system,A,system class,electrical grid and distribution system,System for operation and monitoring 
A,AA,electrical grid and distribution system,"systems for, higher-level management",System for automation 
AA,AAB,systems for higher-level management,operation and monitoring (electrical),System for Metering
AA,AAC,systems for higher-level management,automation systems (electrical),Installation system for higher-level tasks 
AA,AAM,systems for higher-level management,metering,Systems for Un > 420 kV 
AA,AAS,systems for higher-level management,installation system for higher-level tasks ,Distribution for Un  1000 kV
A,AB,electrical grid and distribution system,systems for un > 420 kv,Distribution for 765 kV < Un < 1000 kV
AB,ABA,systems for un > 420 kv,ac distribution for un > 1000 kv,Distribution for 525 kV < Un < 765 kV
AB,ABC,systems for un > 420 kv,ac distribution for 765 kv < un < 1000 kv,Distribution for 420 kV < Un < 525 kV
AB,ABE,systems for un > 420 kv,ac distribution for 525 kv < un < 765 kv,Systems for compensation
AB,ABG,systems for un > 420 kv,ac distribution for 420 kv < un < 525 kv,- available for use -
AB,ABP,systems for un > 420 kv,systems for compensation for un > 420 kv,- available for use -
AB,ABQ,systems for un > 420 kv,dc distribution for un > 1000 kv,Installation system for higher-level tasks of systems for Un > 420 kV
AB,ABR,systems for un > 420 kv,dc distribution for 765 kv < un < 1000 kv,- available for use -
AB,ABS,systems for un > 420 kv,installation system for higher-level tasks of systems for Un > 420 kV,- available for use -
AB,ABT,systems for un > 420 kv,dc distribution for 525 kv < un < 765 kv,Systems for 380 kV ≤ Un < 420 kV 
AB,ABU,systems for un > 420 kv,dc distribution for 420 kv < un < 525 kv,Distribution for 380 kV 
A,AC,electrical grid and distribution system,systems for 380 kv < un < 420 kv,- available for use -
AC,ACA,systems for 380 kv < un < 420 kv,ac distribution for 380 kv < un < 420 kv,Systems for 220 kV s Un < 380 kV 
AC,ACQ,systems for 380 kv < un < 420 kv,dc distribution for 380 kv < un < 420 kv,Distribution for 300 kV < Un < 380 kV
AC,ACS,systems for 380 kv < un < 420 kv,installation system for higher-level tasks of systems for 380 kV < Un < 420 kV,Installation system for higher-level tasks of systems for 380 kV < Un < 420 kV
A,AD,electrical grid and distribution system,systems for 220 kv < un < 380 kv,Distribution for 250 kV < Un < 300 kV
AD,ADA,systems for 220 kv < un < 380 kv,ac distribution for 300 kv < un < 380 kv,Distribution for 220 kV 
AD,ADC,systems for 220 kv < un < 380 kv,ac distribution for 250 kv < un < 300 kv,Systems for compensation
AD,ADE,systems for 220 kv < un < 380 kv,ac distribution for 220 kv < un < 250 kv,- available for use -
AD,ADP,systems for 220 kv < un < 380 kv,systems for compensation for 220 kv < un < 380 kv,- available for use -
AD,ADQ,systems for 220 kv < un < 380 kv,dc distribution for 300 kv < un < 380 kv,Installation system for higher-level tasks of systems for 220 kV < Un < 380 kV
AD,ADR,systems for 220 kv < un < 380 kv,dc distribution for 250 kv < un < 300 kv,- available for use -
AD,ADS,systems for 220 kv < un < 380 kv,installation system for higher-level tasks of systems for 220 kV < Un < 380 kV,Systems for 110 kV ≤ Un < 220 kV 
AD,ADT,systems for 220 kv < un < 380 kv,dc distribution for 220 kv < un < 250 kv,Distribution for 180 kV 
A,AE,electrical grid and distribution system,systems for 110 kv < un < 220 kv,Distribution for 150 kV (154 kV) 
AE,AEA,systems for 110 kv < un < 220 kv,ac distribution for 180 kv < un < 220 kv,Distribution for 132 kV (138 kV) 
AE,AEC,systems for 110 kv < un < 220 kv,ac distribution for 150 kv < un < 180 kv (standard voltage 150 (154) kv),Distribution for 110 kV (115 kV) 
AE,AEE,systems for 110 kv < un < 220 kv,ac distribution for 132 kv < un < 150 kv (standard voltage 132 (138) kv),Systems for compensation
AE,AEG,systems for 110 kv < un < 220 kv,ac distribution for 110 kv < un < 132 kv (standard voltage 110 (115) kv),- available for use -
AE,AEP,systems for 110 kv < un < 220 kv,systems for compensation for 110 kv < un < 220 kv,- available for use -
AE,AEQ,systems for 110 kv < un < 220 kv,dc distribution for 180 kv < un < 220 kv,Installation system for higher-level tasks of systems for 110 kV < Un < 220 kV
AE,AER,systems for 110 kv < un < 220 kv,dc distribution for 150 kv < un < 180 kv (standard voltage 150 (154) kv),- available for use -
AE,AES,systems for 110 kv < un < 220 kv,installation system for higher-level tasks of systems for 110 kV < Un < 220 kV,- available for use -
AE,AET,systems for 110 kv < un < 220 kv,dc distribution for 132 kv < un < 150 kv (standard voltage 132 (138) kv),Systems for 60 kV ≤ Un < 110 kV 
AE,AEU,systems for 110 kv < un < 220 kv,dc distribution for 110 kv < un < 132 kv (standard voltage 110 (115) kv),Distribution for 60 kV 
A,AF,electrical grid and distribution system,systems for 60 kv < un < 110 kv,- available for use -
AF,AFA,systems for 60 kv < un < 110 kv,ac distribution for 60 kv < un < 110 kv,Installation system for higher-level tasks of systems for 60 kV < Un < 110 kV
AF,AFQ,systems for 60 kv < un < 110 kv,dc distribution for 60 kv < un < 110 kv,Systems for 45 kV ≤ Un < 60 kV 
AF,AFS,systems for 60 kv < un < 110 kv,installation system for higher-level tasks of systems for 60 kV < Un < 110 kV,Distribution for 45 kV 
A,AG,electrical grid and distribution system,systems for 45 kv < un < 60 kv,Systems for compensation
AG,AGA,systems for 45 kv < un < 60 kv,ac distribution for 45 kv < un < 60 kv,- available for use -
AG,AGP,systems for 45 kv < un < 60 kv,systems for compensation for 45 kv < un < 60 kv,Installation system for higher-level tasks of systems for 45 kV < Un < 60 kV
AG,AGQ,systems for 45 kv < un < 60 kv,dc distribution for 45 kv < un < 60 kv,Systems for 30 kV ≤ Un < 45 kV 
AG,AGS,systems for 45 kv < un < 60 kv,installation system for higher-level tasks of systems for 45 kV < Un < 60 kV,Distribution for 30 kV 
A,AH,electrical grid and distribution system,systems for 30 kv < un < 45 kv,Systems for compensation
AH,AHA,systems for 30 kv < un < 45 kv,ac distribution for 30 kv < un < 45 kv,- available for use -
AH,AHP,systems for 30 kv < un < 45 kv,systems for compensation for 30 kv < un < 45 kv,Installation system for higher-level tasks of systems for 30 kV < Un < 45 kV
AH,AHQ,systems for 30 kv < un < 45 kv,dc distribution for 30 kv < un < 45 kv,Systems for 20 kV ≤ Un < 30 kV 
AH,AHS,systems for 30 kv < un < 45 kv,installation system for higher-level tasks of systems for 30 kV < Un < 45 kV,Distribution for 20 kV 
A,AJ,electrical grid and distribution system,systems for 20 kv < un < 30 kv,Systems for compensation
AJ,AJA,systems for 20 kv < un < 30 kv,ac distribution for 20 kv < un < 30 kv,- available for use -
AJ,AJP,systems for 20 kv < un < 30 kv,systems for compensation for 20 kv < un < 30 kv,Installation system for higher-level tasks of systems for 20 kV < Un < 30 kV
AJ,AJQ,systems for 20 kv < un < 30 kv,dc distribution for 20 kv < un < 30 kv,Systems for 10 kV ≤ Un < 20 kV 
AJ,AJS,systems for 20 kv < un < 30 kv,installation system for higher-level tasks of systems for 20 kV < Un < 30 kV,Distribution for 10 kV 
A,AK,electrical grid and distribution system,systems for 10 kv < un < 20 kv,Systems for compensation
AK,AKA,systems for 10 kv < un < 20 kv,ac distribution for 10 kv < un < 20 kv,- available for use -
AK,AKP,systems for 10 kv < un < 20 kv,systems for compensation for 10 kv < un < 20 kv,Installation system for higher-level tasks of systems for 10 kV < Un < 20 kV
AK,AKQ,systems for 10 kv < un < 20 kv,dc distribution for 10 kv < un < 20 kv,Systems for 6 kV ≤ Un < 10 kV 
AK,AKS,systems for 10 kv < un < 20 kv,installation system for higher-level tasks of systems for 10 kV < Un < 20 kV,Distribution for 6 kV < Un < 10 kV
A,AL,electrical grid and distribution system,systems for 6 kv < un < 10 kv,Systems for compensation
AL,ALA,systems for 6 kv < un < 10 kv,ac distribution for 6 kv < un < 10 kv,- available for use -
AL,ALP,systems for 6 kv < un < 10 kv,systems for compensation for 6 kv < un < 10 kv,Installation system for higher-level tasks of systems for 6 kV < Un < 10 kV
AL,ALQ,systems for 6 kv < un < 10 kv,dc distribution for 6 kv < un < 10 kv,Systems for 1 kV ≤ Un <6 kV 
AL,ALS,systems for 6 kv < un < 10 kv,installation system for higher-level tasks of systems for 6 kV < Un < 10 kV,Distribution for 1 kV < Un < 6 kV
A,AM,electrical grid and distribution system,systems for 1 kv  <  un < 6 kv,Systems for compensation
AM,AMA,systems for 1 kv  <  un < 6 kv,ac distribution for 1 kv < un < 6 kv,- available for use -
AM,AMP,systems for 1 kv  <  un < 6 kv,systems for compensation for 1 kv  <  un < 6 kv,Installation system for higher-level tasks of systems for 1 kV < Un < 6 kV
AM,AMQ,systems for 1 kv  <  un < 6 kv,dc distribution for 1 kv < un < 6 kv,Systems for Un ≤ 1 kV 
AM,AMS,systems for 1 kv  <  un < 6 kv,installation system for higher-level tasks of systems for 1 kV < Un < 6 kV,AC Distribution for Un > 400 V 
A,AN,electrical grid and distribution system,systems for un < 1 kv,Transformer for Un > 400 V 
AN,ANA,systems for un < 1 kv,"ac system for 400 v < un < 1000 v, distribution",AC Distribution for Un ≤ 400 V 
AN,AND,systems for un < 1 kv,"ac-system for 400 v < un < 1000 v, transformer system",Safety Power Source 
AN,ANE,systems for un < 1 kv,ac distribution for un ≤ 400 v,Transformer for Un ≤ 400 V 
AN,ANG,systems for un < 1 kv,"ac distribution for un < 400 v, back-up power supply",UPS System for Un < 400 V 
AN,ANH,systems for un < 1 kv,transformer for un ≤ 400 v,- available for use -
AN,ANJ,systems for un < 1 kv,ups system for un ≤ 400 v,DC Distribution for 24 V < Un <110 V 
AN,ANL,systems for un < 1 kv,"ac-system for 400 v < un < 1000 v, ups system",Installation system for higher-level tasks of systems for Un < 1 kV
AN,ANQ,systems for un < 1 kv,dc distribution for un ≤ 110 v,"Equipotential bonding systems (e.g. earthing/grounding, lightning protection) "
AN,ANV,systems for un < 1 kv,installation system for higher-level tasks of systems for Un < 1 kV,Earthing/grounding system 
A,AP,electrical grid and distribution system,equipotential bonding system,Equipotential bonding system
AP,APA,equipotential bonding system,earthing/grounding,Lightning protection system 
AP,APB,equipotential bonding system,equipotential bonding,installation systems for several systems of the electrical grid and distribution system 
AP,APG,equipotential bonding system,lightning protection system,Installation system for systems for higher-level management
A,AS,electrical grid and distribution system,installation systems for several systems of the electrical grid and distribution system ,Installation system for several systems for measuring and metering
AS,ASA,installation systems for several systems of the electrical grid and distribution system ,installation system for systems for higher-level management,installation system for several protecting systems 
AS,ASB,installation systems for several systems of the electrical grid and distribution system ,installation system for several systems for measuring and metering,Installation system for several control systems 
AS,ASF,installation systems for several systems of the electrical grid and distribution system ,installation system for several protecting systems ,Installation system for several alarm systems
AS,ASK,installation systems for several systems of the electrical grid and distribution system ,installation system for several control systems ,Installation system for panels and desks
AS,ASP,installation systems for several systems of the electrical grid and distribution system ,installation system for several alarm systems,"Transformer, Converter stations "
AS,ASW,installation systems for several systems of the electrical grid and distribution system ,Installation system for panels and desks,Transformer station (grid transformer)
A,AT,electrical grid and distribution system,electrical transformer systems,Converter station (HVDC)
AT,ATA,electrical transformer systems,transformer system,Systems for besideand help purpose among other duties from main process 
AT,ATD,electrical transformer systems,converter station (hvdc),Electrical installation (Lighting and power) 
A,AX,electrical grid and distribution system,systems for beside- and help purpose among other duties from main process,- available for use -
AX,AXC,systems for beside- and help purpose among other duties from main process,electrical installation (lighting and power) ,Objects for housing technical systems or installations of power distribution including ancillary systems 
AX,AXU,systems for beside- and help purpose among other duties from main process,emergency lighting,"Structure, building for systems of power distribution incl. ancillary systems"
A,AZ,electrical grid and distribution system,objects for housing technical systems or installations of power distribution incl. ancillary systems,Topside 
AZ,AZA,objects for housing technical systems or installations of power distribution incl. ancillary systems,structure for network distribution systems including ancillary systems,not specified
AZA,AZA10,structure for network distribution systems including ancillary systems,topside,not specified
AZA10,AZA11,topside,primary structure topside,not specified
AZA10,AZA12,topside,secondary structure topside,Supporting structure
AZA10,AZA13,topside,tertiary structure topside,not specified
AZA,AZA20,structure for network distribution systems including ancillary systems,supporting structure,not specified
AZA20,AZA21,supporting structure,primary structure  supporting structure,not specified
AZA20,AZA22,supporting structure,secondary structure supporting structure,free
AZA20,AZA23,supporting structure,tertiary structure supporing structure,not specified
AZA,AZA30,structure for network distribution systems including ancillary systems,helideck,not specified
AZA30,AZA31,helideck,primary structure helideck,not specified
AZA30,AZA32,helideck,secondary structure helideck,Foundation
AZA30,AZA33,helideck,tertiary structure helideck,not specified
AZA,AZA40,structure for network distribution systems including ancillary systems,foundations,not specified
AZA40,AZA41,foundations,primary structure foundations,not specified
AZA40,AZA42,foundations,secondary structure foundations,not specified
AZA40,AZA43,foundations,tertiary structure foundations,Area (if not *AZF* or *AZG*) 
AZA,AZA50,structure for network distribution systems including ancillary systems,substation building,Electrical auxiliary power supply system 
AZ,AZC,objects for housing technical systems or installations of power distribution incl. ancillary systems,onshore structure for network distribution including ancillary systems,Low voltage electrical main supply system 1 
system,B,system class,electrical auxiliary power supply system,"Low voltage electrical main supply system 1, voltage level 1"
B,BF,electrical auxiliary power supply system,auxiliary ac systems for un < 1 kv,"Low voltage electrical main supply system 1, voltage level 2"
BF,BFA,auxiliary ac systems for un < 1 kv,normal distribution 400v ac,"Low voltage electrical main supply system 1, auxiliary power transformer "
BF,BFB,auxiliary ac systems for un < 1 kv,normal distribution 215 v / 110 v ac,Control and protection system
BF,BFT,auxiliary ac systems for un < 1 kv,low voltage auxiliary transformer,Low voltage electrical supply system 1 for safety services
BF,BFY,auxiliary ac systems for un < 1 kv,control and protection system < 1 kv ac,"Low voltage electrical supply system 1 for safety services, voltage level 1"
B,BK,electrical auxiliary power supply system,auxiliary ac backup systems for un < 1 kv,Electric source for safety services 1
BK,BKA,auxiliary ac backup systems for un < 1 kv,emergency/safety distribution 400v ac,Uninterruptible power supply system UPS 
BK,BKV,auxiliary ac backup systems for un < 1 kv,electric backup source (diesel emergency power),UPS distribution system 1
B,BM,electrical auxiliary power supply system,auxiliary uninterruptible power supply system (ups),UPS distribution system 2
BM,BMA,auxiliary uninterruptible power supply system (ups),ups system 400v ac,Low voltage DC electrical main supply system 
BM,BMB,auxiliary uninterruptible power supply system (ups),ups system 110v dc,"Low voltage DC electrical main supply system, voltage level 1 "
B,BP,electrical auxiliary power supply system,auxiliary dc systems for un < 1 kv,"Low voltage DC electrical main supply system, converter system "
BP,BPA,auxiliary dc systems for un < 1 kv,normal distribution <110v dc,"Low voltage DC electrical main supply system, battery system "
BP,BPU,auxiliary dc systems for un < 1 kv,converter system 110v dc,Control and protection system
BP,BPV,auxiliary dc systems for un < 1 kv,battery system <110v dc,Low voltage DC electrical supply system for safety purposes 
BP,BPY,auxiliary dc systems for un < 1 kv,control and protection system 110v dc,Low voltage DC electrical supply system 1 for safety purposes 
B,BQ,electrical auxiliary power supply system,auxiliary dc backup systems for un < 1 kv,Battery system
BQ,BQA,auxiliary dc backup systems for un < 1 kv,emergency/safety distribution 110v dc,Control and protection system
BQ,BQV,auxiliary dc backup systems for un < 1 kv,battery system emergency/safety distribution 110v dc,Installation systems for several systems of the electrical auxiliary power supply system 
BQ,BQY,auxiliary dc backup systems for un < 1 kv,control and protection system emergency/safety distribution 110v dc,Installation system for systems for higher-level management
B,BS,electrical auxiliary power supply system,installation systems for several systems of the electrical auxiliary power supply system ,Installation system for several systems for measuring and metering
BS,BSA,installation systems for several systems of the electrical auxiliary power supply system ,installation system for systems for higher-level management of the auxiliary power supply system,Installation system for several protecting systems
BS,BSB,installation systems for several systems of the electrical auxiliary power supply system ,installation system for several systems for measuring and metering  of the auxiliary power supply system,Installation system for several control systems
BS,BSF,installation systems for several systems of the electrical auxiliary power supply system ,installation system for several protecting systems,Installation system for several alarm systems
BS,BSK,installation systems for several systems of the electrical auxiliary power supply system ,installation system for several control systems,Installation system for panels and desks
BS,BSP,installation systems for several systems of the electrical auxiliary power supply system ,installation system for several alarm systems of the auxiliary power supply system,Control and protection systems
BS,BSW,installation systems for several systems of the electrical auxiliary power supply system ,installation systems for panels and desks,Control and protection system
B,BY,electrical auxiliary power supply system,control and protection systems,Control and management systems 
BY,BYA,control and protection systems,control and protection system,General process automation tasks
system,C,system class,control and management systems,Installation system for several systems for general process automation tasks
C,CA,control and management systems,general process automation tasks,Operation and monitoring
CA,CAS,general process automation tasks,installation system for several systems for general process automation tasks,Operation and monitoring
C,CB,control and management systems,operation and monitoring,not specified
CB,CBA,operation and monitoring,process safety systems,not specified
CBA,CBA10,process safety systems,"process shutdown system (psd), emergency shutdown (esd), electronic safety shut-down control (essd)",Operation and monitoring
CBA,CBA20,process safety systems,high integrity pressure protection system (hipps),not specified
CB,CBB,operation and monitoring,general,not specified
CBB,CBB10,general,protection control and monitoring (pcm),Installation system for several systems  for operation and monitoring
CBB,CBB20,general,integrated condition monitoring system (icms),Automation systems 
CB,CBS,operation and monitoring,installation system for several systems  for operation and monitoring,Automation system
C,CC,control and management systems,automation systems,not specified
CC,CCA,automation systems,automation system,not specified
CCA,CCA10,automation system,plant information system (core),Installation system for several automation systems
CCA,CCA20,automation system,"platform control system (pcs, pacs)",Diagnostic systems
CC,CCS,automation systems,installation system for several automation systems,Diagnostic systems
C,CD,control and management systems,diagnostic systems,not specified
CD,CDA,diagnostic systems,instrument specialty systems,not specified
CDA,CDA10,instrument specialty systems,leak detection systems,not specified
CDA,CDA20,instrument specialty systems,tank gauging systems,not specified
CDA,CDA30,instrument specialty systems,loading computer,Installation system for several diagnostic systems
CDA,CDA40,instrument specialty systems,analysers,Engineering systems
