parent code,code,parent class name,class name,vgb class name
CD,CDS,diagnostic systems,installation system for several diagnostic systems,Installation system for several engineering systems
C,CE,control and management systems,engineering systems,Process monitoring 
CE,CES,engineering systems,installation system for several engineering systems,Fire alarm system 
C,CK,control and management systems,process monitoring,Video monitoring system 
CK,CKA,process monitoring,fire alarm system,Alarm system (acoustic/optical)
CK,CKC,process monitoring,video monitoring system,- available for use -
CK,CKD,process monitoring,public address and general alarm (paga),not specified
CK,CKQ,process monitoring,non-electrical monitoring systems,not specified
CKQ,CKQ10,non-electrical monitoring systems,corrosion monitoring,not specified
CKQ,CKQ20,non-electrical monitoring systems,equipment health / condition monitoring system (cms),not specified
CKQ,CKQ30,non-electrical monitoring systems,structural condition monitoring system (scms),not specified
CKQ,CKQ40,non-electrical monitoring systems,fieldbus communications,not specified
CKQ,CKQ50,non-electrical monitoring systems,distributed temperature sensing (dts) ,Installation system for several systems for process monitoring
CKQ,CKQ60,non-electrical monitoring systems,sand monitoring,"Water supply, disposal and treatment"
CK,CKS,process monitoring,installation system for several systems for process monitoring,Distribution systems after water treatment
system,G,system class,"water supply , disposal, and treatment",- available for use -
G,GH,"water supply , disposal, and treatment",water treatment systems,- available for use -
GH,GHQ,water treatment systems,non waste water treatment systems,- available for use -
GH,GHR,water treatment systems,waste water treatment systems,- available for use -
G,GQ,"water supply , disposal, and treatment",water supply and distribution,- available for use -
GQ,GQA,water supply and distribution,fresh (non potable) water supply and distribution,- available for use -
GQ,GQB,water supply and distribution,irrigation water system and holding ponds (freshwater),Systems for conversion of energy (without heat generation) and for transmission of electrical energy 
GQ,GQC,water supply and distribution,sea water supply and distribution,Wind Turbine System
system,M,system class,systems for conversion of energy (without heat generation) and for transmission of electrical energy,Rotor System from incl. tip of the blade to excl. connection drive train 
M,MD,systems for conversion of energy (without heat generation) and for transmission of electrical energy,wind turbine system,"Rotor System 1, overall"
MD,MDA,wind turbine system,rotor system from incl. tip of the blade to excl. connection drive train ,"Rotor System 1, Rotor Blade 1"
MDA,MDA10,rotor system from incl. tip of the blade to excl. connection drive train ,"rotor system 1, overall","Rotor System 1, Rotor Blade 2"
MDA,MDA11,rotor system from incl. tip of the blade to excl. connection drive train ,"rotor system 1, rotor blade 1","Rotor System 1, Rotor Blade 3"
MDA,MDA12,rotor system from incl. tip of the blade to excl. connection drive train ,"rotor system 1, rotor blade 2","Rotor System 1, Rotor Hub System"
MDA,MDA13,rotor system from incl. tip of the blade to excl. connection drive train ,"rotor system 1, rotor blade 3","Rotor System 1, Rotor Brake Subsystem"
MDA,MDA15,rotor system from incl. tip of the blade to excl. connection drive train ,"rotor system 1, rotor hub system",Drive Train System with gearbox: from excl. drive train without gearbox: from excl. generator
MDA,MDA16,rotor system from incl. tip of the blade to excl. connection drive train ,"rotor system 1, rotor brake subsystem","Drive Train System 1, Rotor Bearing"
MD,MDK,wind turbine system,drive train system with gearbox,"Drive Train System 1, Speed Conversion"
MDK,MDK11,drive train system with gearbox,"drive train system 1, rotor bearing","Drive Train System 1, Brake Subsystem"
MDK,MDK12,drive train system with gearbox,"drive train system 1, speed conversion","Drive Train System 1, Torque Transmission High Speed"
MDK,MDK13,drive train system with gearbox,"drive train system 1, brake subsystem","Drive Train System 1, Rotor Lock"
MDK,MDK14,drive train system with gearbox,"drive train system 1, torque transmission high speed","Drive Train System 1, Rotor Slewing Unit"
MDK,MDK15,drive train system with gearbox,"drive train system 1, rotor lock","Drive Train System 1, Main Gear Oil"
MDK,MDK16,drive train system with gearbox,"drive train system 1, rotor slewing unit","Drive Train System 1, Offline Gear Oil"
MDK,MDK17,drive train system with gearbox,"drive train system 1, main gear oil","Drive Train System 1, Lubricant Bearing and Gear Box"
MDK,MDK18,drive train system with gearbox,"drive train system 1, offline gear oil",Yaw System to incl. yaw ring
MDK,MDK19,drive train system with gearbox,"drive train system 1, lubricant bearing and gear box",Yaw Drive System
MD,MDL,wind turbine system,yaw system to incl. yaw ring,Yaw Gear Lubrication
MDL,MDL11,yaw system to incl. yaw ring,yaw drive system,Yaw Brake System
MDL,MDL12,yaw system to incl. yaw ring,yaw gear lubrication,Lubricant system
MDL,MDL13,yaw system to incl. yaw ring,yaw brake system,Hydraulic system
MD,MDV,wind turbine system,lubricant system,Generator system
MD,MDX,wind turbine system,hydraulic system,Generator to incl. generator bushing
M,MK,systems for conversion of energy (without heat generation) and for transmission of electrical energy,generator system,Generator exciter set
MK,MKA,generator system,generator to incl. generator bushing,Transmission
MK,MKC,generator system,generator exciter set,Generator lead  from excl. generator bushing to excl. low-voltage bushing of generator transformers excl. generator circuit breaker
M,MS,systems for conversion of energy (without heat generation) and for transmission of electrical energy,transmission,Generator circuit-breaker system
MS,MSA,transmission,generator lead  from excl. generator bushing to excl. low-voltage bushing of generator transformers excl. generator circuit breaker,Converter system
MS,MSC,transmission,generator circuit-breaker system,Compensation system
MS,MSE,transmission,converter system,Generator transformer system
MS,MSS,transmission,compensation system,Common System for systems for conversion of energy (without heat generation) and for transmission of electrical energy
MS,MST,transmission,generator transformer system,"Frame, support structure"
M,MU,systems for conversion of energy (without heat generation) and for transmission of electrical energy,common system for systems for conversion of energy (without heat generation) and for transmission of electrical energy,Cooling
MU,MUG,common system for systems for conversion of energy (without heat generation) and for transmission of electrical energy,"frame, support structure",Control and protection systems
MU,MUR,common system for systems for conversion of energy (without heat generation) and for transmission of electrical energy,cooling,Control and protection system
M,MY,systems for conversion of energy (without heat generation) and for transmission of electrical energy,turbine control and protection systems,Cooling water systems
MY,MYA,turbine control and protection systems,remote monitoring system,Cooling water system 1 of the main process
system,P,system class,cooling water systems,- available for use -
P,PA,cooling water systems,cooling water systems of the main process,- available for use -
PA,PAQ,cooling water systems of the main process,sea water cooling,not specified
PA,PAT,cooling water systems of the main process,fresh water cooling,"Superordinate systems such as the electrical network and distribution system, higher-level control systems "
system,U,system class,structures and areas for systems inside of the power plant process,Structures and areas for systems inside of the power plant process
U,UB,structures and areas for systems inside of the power plant process,structures for electrical auxiliary power supply system,Structures for electrical auxiliary power supply system
UB,UBA,structures for electrical auxiliary power supply system,switchgear building,Switchgear building
U,UM,structures and areas for systems inside of the power plant process,wind farm structures,Structures for systems for conversion of energy and for transmission of electrical energy
UM,UMD,wind farm structures,structure for wind turbine system,Structure for wind turbine system
UMD,UMD10,structure for wind turbine system,wind turbine nacelle,Nacelle
UMD10,UMD11,wind turbine nacelle,primary structure wind turbine nacelle,not specified
UMD10,UMD12,wind turbine nacelle,secondary structure wind turbine nacelle,not specified
UMD10,UMD13,wind turbine nacelle,tertiary structure wind turbine nacelle,not specified
UMD,UMD20,structure for wind turbine system,wind turbine tower,Tower
UMD20,UMD21,wind turbine tower,primary structure wind turbine tower,not specified
UMD20,UMD22,wind turbine tower,secondary structure wind turbine tower,not specified
UMD20,UMD23,wind turbine tower,tertiary structure wind turbine tower,not specified
UMD,UMD30,structure for wind turbine system,wind turbine transition piece,Transition piece
UMD30,UMD31,wind turbine transition piece,primary structure transition piece,not specified
UMD30,UMD32,wind turbine transition piece,secondary structure transition piece,not specified
UMD30,UMD33,wind turbine transition piece,tertiary structure transition piece,not specified
UMD,UMD40,structure for wind turbine system,wind turbine foundation,Foundation
UMD40,UMD41,wind turbine foundation,primary structure wind turbine foundation,not specified
UMD40,UMD42,wind turbine foundation,secondary structure wind turbine foundation,not specified
UMD40,UMD43,wind turbine foundation,tertiary structure wind turbine foundation,not specified
U,UU,structures and areas for systems inside of the power plant process,structures and areas for several systems,Structures and areas for several systems
UU,UUA,structures and areas for several systems,structure or area for several systems,Structure and area for several systems
system,V,system class,systems for storage of materials or goods,Systems for storage of materials or goods
V,VA,systems for storage of materials or goods,storage systems,"Systems for storage of spare-, reserve and wear parts"
VA,VAA,storage systems,"systems for storage of spare-,  reserve- and wear parts","Systems for storage of spare-, reserve and wear parts"
system,X,system class,ancillary systems,Ancillary systems
X,XA,ancillary systems,ventilation and air-conditioning systems,Ventilation and air-conditioning systems
XA,XAA,ventilation and air-conditioning systems,air conditioning and ventilation,Central ventilation and air-conditioning system
XA,XAM,ventilation and air-conditioning systems,building management system,Ventilation and air-conditioning system in structures for systems for conversion of energy and for transmission of electrical energy
X,XB,ancillary systems,heating systems,Heating systems
XB,XBA,heating systems,heating,Central heating system
XB,XBU,heating systems,heat tracing,- available for use -
X,XF,ancillary systems,"equipotential bonding systems (e.g. earthing, lightning protection)","Equipotential bonding systems (e.g. earthing, lightning protection)"
XF,XFC,"equipotential bonding systems (e.g. earthing, lightning protection)",external lightning protection,External lightning protection
X,XG,ancillary systems,fire fighting,Fire extinguishing systems
XG,XGA,fire fighting,fire water system,Fire water system
XG,XGC,fire fighting,"water deluge, fog or mist system fire extinguishing",Spray deluge system
XG,XGF,fire fighting,compressed air foam (caf) fire extinguishing,Foam extinguishing system
XG,XGK,fire fighting,inert gas fire extinguishing,Inert gas fire extinguishing system
XG,XGM,fire fighting,manual fire extinguishing system,Fire extinguishing system with other extinguishing agent
XG,XGQ,fire fighting,deck integrated fire fighting (diff),- available for use -
X,XH,ancillary systems,drains?,Waterway systems
X,XK,ancillary systems,chilled water systems,Chilled water systems
XK,XKA,chilled water systems,chilled water generation system,Central chilled water generation
XK,XKB,chilled water systems,chilled water distribution system,Central chilled water conveyance and distribution
X,XL,ancillary systems,potable water systems,Potable water systems
XL,XLQ,potable water systems,potable water supply and distribution,- available for use -
X,XM,ancillary systems,material handling systems,"Crane assemblies, stationary hoists and inspection equipment"
XM,XMM,material handling systems,lifting equipment,"Crane assembly, stationary hoists and inspection equipment in structures for systems for conversion of energy (without heat generation) and  for transmission of electrical energy"
XM,XMT,material handling systems,pulling systems,- available for use -
X,XN,ancillary systems,elevator systems,Elevator systems
XN,XNM,elevator systems,elevator system in structures for systems for conversion of energy (without heat generation) and for transmission of electrical energy,Elevator system in structures for systems for conversion of energy (without heat generation) and for transmission of electrical energy
XN,XNZ,elevator systems,elevator system in structures for other purposes,Elevator system in structures for other purposes
X,XQ,ancillary systems,other ancillary systems,- available for use -
XQ,XQA,other ancillary systems,installation systems,- available for use -
XQA,XQA10,installation systems,installation aids,not specified
XQA,XQA20,installation systems,grouting system,not specified
XQA,XQA30,installation systems,pile grippers (hydraulic),not specified
XQ,XQC,other ancillary systems,helideck lighting,- available for use -
XQ,XQD,other ancillary systems,navigation aids,- available for use -
XQ,XQF,other ancillary systems,oil heating,- available for use -
XQ,XQR,other ancillary systems,corrosion protection,- available for use -
XQR,XQR10,corrosion protection,"cathodic protection, sacrificial",not specified
XQR,XQR20,corrosion protection,"cathodic protection, impressed current",not specified
XQR,XQR30,corrosion protection,miscellaneous corrosion protection,not specified
XQ,XQS,other ancillary systems,drains,- available for use -
XQS,XQS10,drains,open drain system - non-hazardous,not specified
XQS,XQS20,drains,open drain system - hazardous,not specified
XQS,XQS30,drains,closed drains,not specified
XQS,XQS40,drains,surface water catchment and drainage,not specified
XQ,XQT,other ancillary systems,training simulators and emulators,- available for use -
XQT,XQT10,training simulators and emulators,facility/plant simulator,not specified
XQT,XQT20,training simulators and emulators,subsea simulator,not specified
XQT,XQT30,training simulators and emulators,facility/plant emulator,not specified
X,XS,ancillary systems,safety services for installations and persons,Safety services for installations and persons
XS,XSA,safety services for installations and persons,access control,Access control system
XS,XSB,safety services for installations and persons,surveillance / closed circuit monitoring (cctv),Video monitoring system
XS,XSC,safety services for installations and persons,intruder detection,Intrusion detection system
XS,XSD,safety services for installations and persons,obstacle warning systems,Obstruction waming systems
XSD,XSD11,obstacle warning systems,obstacle warning system aviation,Aviation obstruction marking
XSD,XSD12,obstacle warning systems,obstacle warning system marine,Seafaring obstruction marking
XSD,XSD13,obstacle warning systems,sonar system,not specified
XS,XSE,safety services for installations and persons,systems for rescue and safety of persons,Systems for rescue and safety of persons
XS,XSQ,safety services for installations and persons,safety equipment,- available for use -
XS,XSS,safety services for installations and persons,safety signage,- available for use -
X,XU,ancillary systems,sanitary waste water systems,Sanitary waste water systems
XU,XUA,sanitary waste water systems,sewage,Central sanitary waste water system
system,Y,system class,communication and information systems,Communication and information systems
Y,YA,communication and information systems,communications systems,Communications systems
YA,YAA,communications systems,telephone/personal access exchange system (pabx),Telephone system
YA,YAB,communications systems,marine communications,Radiotelephone system
YAB,YAB10,marine communications,"marine radios, gmdss",not specified
YAB,YAB20,marine communications,"radios, vhf/uhf",not specified
YAB,YAB30,marine communications,local ship to facility communications,not specified
YAB,YAB40,marine communications,satellite communication system (vsat),not specified
YA,YAQ,communications systems,automated terminal information service (atis),- available for use -
YA,YAR,communications systems,site communications and local networks,- available for use -
YA,YAS,communications systems,field communications,- available for use -
YAS,YAS10,field communications,microwave radio communication systems,not specified
YAS,YAS20,field communications,backbone network (ibr network & system uk),not specified
YAS,YAS30,field communications,fibre optic,not specified
Y,YB,communication and information systems,information systems,Information systems
YB,YBC,information systems,system for acquisition of environmental data,System for acquisition of environmental data
YBC,YBC10,system for acquisition of environmental data,meteocean observation system,not specified
YBC10,YBC11,meteocean observation system,lidar wind speed measurement,not specified
YBC,YBC20,system for acquisition of environmental data,geological/seabed measurement system ,not specified
YBC,YBC30,system for acquisition of environmental data,hydrological measurement system ,not specified
YBC,YBC40,system for acquisition of environmental data,flora measurement system ,not specified
YBC,YBC50,system for acquisition of environmental data,fauna measurement system ,not specified
YB,YBQ,information systems,vessel tracking and management system (vtms),- available for use -
YB,YBR,information systems,"computing systems equipment (pcs, printers, servers)",- available for use -
YB,YBS,information systems,marine radar and arpas,- available for use -
Y,YC,communication and information systems,it networks,IT network
YC,YCQ,it networks,local area network communication (lan),- available for use -
YC,YCR,it networks,wifi,- available for use -
YC,YCS,it networks,4g/5g system,- available for use -
YC,YCT,it networks,voice and data network,- available for use -
system,Z,system class,structures and areas for systems outside of the power plant process,Structures and areas for systems outside of the power plant process
Z,ZQ,structures and areas for systems outside of the power plant process,infrastructure,- available for use -
Z,ZU,structures and areas for systems outside of the power plant process,other buildings,- available for use -
ZU,ZUA,other buildings,harbor building,- available for use -
Z,ZV,structures and areas for systems outside of the power plant process,structures and surfaces for storage of material and goods,Structures and surfaces for storage of material and goods
ZV,ZVA,structures and surfaces for storage of material and goods,warehouse building,Structure for storage of spare and wearing parts
Z,ZW,structures and areas for systems outside of the power plant process,administrative and staff amenity buildings or structures,Structures for administrative tasks or staff amenities
ZW,ZWA,administrative and staff amenity buildings or structures,"office building, administration building","Office building, administration building"
ZW,ZWB,administrative and staff amenity buildings or structures,training facility,Training facility
ZW,ZWC,administrative and staff amenity buildings or structures,staff amenities building,Staff amenities building
ZW,ZWG,administrative and staff amenity buildings or structures,accomodation building or area,"Residential building, residential area"
Z,ZY,structures and areas for systems outside of the power plant process,structures for communications and information,Structures for communications and information
ZY,ZYB,structures for communications and information,structure for acquisition of environmental data,Structure for acquisition of environmental data
Z,ZZ,structures and areas for systems outside of the power plant process,onshore infrastructure,"Structures and surfaces for conveyance and traffic, fencing, gardens and other purposes"
ZZ,ZZA,onshore infrastructure,roads/access,"Works roadway, path"
ZZ,ZZC,onshore infrastructure,parking area incl. associated structures,Parking area incl. associated structures
ZZ,ZZK,onshore infrastructure,"laydown areas (permanent, construction, etc.)",Yards
ZZ,ZZL,onshore infrastructure,fencing and gate system,Fencing and gate system
ZZ,ZZN,onshore infrastructure,"outdoor areas, plots of land","Outdoor areas, plots of land"
ZZ,ZZR,onshore infrastructure,bunds (for containment),- available for use -
ZZ,ZZS,onshore infrastructure,"civil-utilities structures (catch basins, manholes, etc.)",- available for use -
ZZ,ZZT,onshore infrastructure,"jetty, bulkheads, and wharves",- available for use -
ZZ,ZZU,onshore infrastructure,"helipads, runways, taxiways",- available for use -
ZZ,ZZW,onshore infrastructure,site preparation & grading ,Structure for site preparation and setup
